date,solar_potential_mw,wind_potential_mw,renewable_potential_mw,peak_demand_mw,demand_gap_mw
2010-01-01,3664.5818181818186,0.010205610494972055,3664.5920237923137,5270.6,1606.0079762076866
2010-01-02,3876.6545454545458,8.126076033072472,3884.780621487618,5452.9,1568.1193785123814
2010-01-03,3354.763636363637,65.3624788579259,3420.126115221563,5653.0,2232.873884778437
2010-01-04,2981.2363636363634,85.91301285120996,3067.1493764875736,5100.0,2032.8506235124264
2010-01-05,4058.181818181819,1.38128163142635,4059.563099813245,5317.7,1258.1369001867547
2010-01-06,3913.3090909090906,6.0115561737605265,3919.3206470828513,5100.0,1180.6793529171487
2010-01-07,3674.1818181818185,36.712885498453716,3710.894703680272,5246.6,1535.7052963197284
2010-01-08,4045.963636363637,0.0,4045.963636363637,6097.2,2051.236363636363
2010-01-09,3499.6363636363635,8.927801225583103,3508.5641648619467,5362.6,1854.0358351380537
2010-01-10,3513.6,0.0,3513.6,5572.8,2059.2000000000003
2010-01-11,3477.8181818181815,0.6304382178741561,3478.4486200360557,5592.2,2113.751379963944
2010-01-12,3915.0545454545454,0.010205610494972055,3915.0647510650406,5231.9,1316.835248934959
2010-01-13,3264.8727272727274,6.6695304338503965,3271.542257706578,5880.3,2608.7577422934223
2010-01-14,3520.581818181818,8.520653333389358,3529.1024715152075,6095.5,2566.3975284847925
2010-01-15,3850.4727272727278,18.63074654922401,3869.103473821952,5812.9,1943.7965261780478
2010-01-16,3401.8909090909096,3.5818487849582454,3405.472757875868,5626.0,2220.527242124132
2010-01-17,3575.5636363636363,1.5039113886688713,3577.067547752305,5100.0,1522.932452247695
2010-01-18,3109.527272727273,80.42206296117658,3189.9493356884495,6022.1,2832.150664311551
2010-01-19,3977.8909090909087,0.0,3977.8909090909087,6260.7,2282.809090909091
2010-01-20,3591.2727272727275,59.32245817049945,3650.595185443227,5978.1,2327.5048145567735
2010-01-21,3474.327272727273,1.5151506005254916e-05,3474.327287878779,5280.2,1805.872712121221
2010-01-22,3422.8363636363642,4.299904431305025,3427.1362680676693,6441.8,3014.663731932331
2010-01-23,3700.363636363637,0.0,3700.363636363637,5349.5,1649.136363636363
2010-01-24,3354.763636363637,0.0,3354.763636363637,5818.9,2464.1363636363626
2010-01-25,4440.436363636364,2.2267727185736956,4442.663136354938,6305.5,1862.8368636450623
